课	
4-6	21世纪的第一天，北京时间22点，中国上海东方明珠广播电视塔和加拿大多伦多国家电视塔，通过国际卫星，进行了一次一个多小时的“新世纪对话”。 上海和多伦多有13个小时的时差，这时，一个是夜晚，一个是凌晨。 东方明珠塔是上海市的标志性建筑，高468米，是亚洲第一高塔。从1994年建成到现在，她一共接待了1300多万国内外旅游者。世界上175位国家元首先后登上了东方明珠电视塔。 多伦多电视塔高553.3米，是世界第一高塔，也是多伦多市的标志性建筑，1976年6月26日正式对外开放，每年接待的旅游者不下200万。 双塔对话开始了，在多伦多电视塔，中国人民非常熟悉的加拿大笑星大山用英语和汉语向两国两地的人民问好；在上海的东方明珠塔，东方电视台的著名节目主持人袁鸣也用汉语和英语向两国两地的人民表示了祝福。 接着，两个高塔的总经理通过卫星互相问好，他们高兴地说：“虽然我们两个塔离得很远，但是，我们都是‘地球村’的村民。”他们宣布，在新世纪的第一天，两座高塔正式成为“友好塔”。 不管是在上海还是在多伦多，两座塔里面的气氛都非常热烈。上海和多伦多的两位世纪老人谈起了两个国家一百多年来的不同经历；复旦大学和多伦多大学的学生们谈起了新世纪的美好明天；一位上海老人讲起了白求恩大夫挽救他生命的故事；一位加拿大女士告诉人们她为什么在上海生活了48年，为什么把上海当做自己的第二个家乡⋯⋯ 最后，大家一起祝愿两国人民：明天生活更美好！
4-7	张天：你们也不等我就喝起来了。 马力：你不是和你的白雪公主约会去了吗？怎么这么早就回来了？ 张天：别提了，什么白雪公主？网上的人根本就不能相信！ 高一飞：是不是长得不够漂亮？ 张天：如果只是长得不够漂亮，那倒没什么。我也不是什么白马王子。可你们猜猜，跟我见面的白雪公主是谁？ 高一飞：得了，你就别卖关子了，我们哪儿猜得出来？ 张天：马力自然猜不出来，可是，你高一飞应该能猜得出来。她呀，就是咱们大学时候的同学，最难看的那个丑小鸭！ 高一飞：哈哈哈！ 马力：你笑什么呀？ 高一飞：上大学时，她就喜欢张天，没想到，在网上又..... 张天：别笑了行不行？ 马力：好了，喝酒，喝酒！ 高一飞：我早就跟你说过，网恋虽然浪漫，但是不能相信。因为你不和别人说真话，别人当然也不会跟你说真话。 马力：就是。网恋是一种游戏，最大的规则是不能见面。你看我，我的Mary好几次要求和我见面，我都没同意。 高一飞：哎呀，不早了，我得去上网，跟我的那位商量结婚的事儿了。下星期天晚上8点，你们都要参加我的婚礼啊！ 张天和马力：放心吧，网上见。
4-7	我太祖母今年98岁，上网已经有两年多了。 我没有调查过，不知道太祖母是不是世界上年纪最大的网民，但我知道像她这么大年纪的网虫肯定不多。 我的电脑买回家以后，我上网时太祖母就抱着我家的小猫在旁边看着。有一天，太祖母突然对我说：“你教我上网吧。”我大吃一惊，但是马上被她的话感动了。于是我就告诉太祖母怎么上网，还经常把上网的机会主动地让给她。她学得很认真，也很刻苦，不到两个月的时间，太祖母就能熟练地上网了。 太祖母经常去的网站是戏剧大观，那里有最著名的京剧唱段，想听什么就听什么。太祖母是个京剧迷，发现这个网站以后，就经常泡在里面，一边听，一边唱。这个时候，虽然我很想上网，但是也没有办法。 看过我上网聊天儿以后、太祖母的网络生活就不仅仅局限在听戏了。 一天晚上，我回房间拿东西，发现太祖母正在很投入地和一位叫“老槐树”的网虫聊天儿。见我进来，太祖母显得很慌张。好几天她都是这样。我终于忍不住了，就问她：“太祖母，您和‘老槐树’的关系发展得怎么样了？”没想到太祖母很坦率地说：“很好啊。”我又问：“那什么时候吃您的喜糖呀？”太祖母莫名其妙地看着我，说：“你想到哪儿去了！‘老槐树’是个86岁的老太太，我们都没了老伴儿，孤独的时候就上网聊聊，这生活才有意思…”
4-8	马力和李小雨是一对刚结婚不久的小夫妻，晚饭后，马力很自然地坐在了沙发上，拿起了电视机的遥控器，打开了体育频道。李小雨不满地看了他一眼。 李小雨：事情都干完了吗？又看电视。 马力：还有什么事儿？ 李小雨：锅呢？碗呢？筷子呢？你今天还不洗？ 马力：哎呀，老婆，不就洗洗什么锅碗瓢盆嘛，你就洗洗呗。 李小雨：不行，我们说好的，我做饭你洗碗，你做饭我洗碗。 马力：可是今天⋯⋯ 李小雨：今天怎么啦？饭难道不是我做的？ 马力：不，我不是这个意思。 李小雨：我不管你是什么意思，别废话了，洗碗去吧。 马力：帮帮忙吧，老婆，我今天实在太累了。 李小雨：谁不累呀？我跟你一样，也累了一天了。 马力：可是，在我们法国… 李小雨：在法国怎么样？法国人就不吃饭？不洗碗？ 马力：好，好，好，我去洗。 李小雨：这还差不多。 （一边说着话，一边坐在了沙发上，把电视换到了生活频道） 李小雨：老公，快来看！ 马力：（两手湿漉漉地跑出来）什么事啊？ 李小雨：哎呀，你看看你，手也不擦，湿漉漉地就跑出来了。 马力：你不是让我快点儿来吗？ 李小雨：好了，好了，你看，这件衣服多漂亮！ 马力：嗨，我还以为什么事儿呢，这衣服你能穿？ 李小雨：怎么啦，我怎么不能穿？你不是说我穿什么衣服都好看吗？ 马力：（低低地）你洗碗的样子更好看。 李小雨：你说什么？ 马力：没什么！我说你穿什么衣服都好看。 李小雨：去你的！
4-8	在传统的社会中，女人的地位一直比男人低。做女人难还是做男人难，也许是一个老生常谈的话题，却又是一个不得不谈的话题。 很多人都说做男人难。因为不管是传统社会还是现代社会，男人都要面対来自社会、家庭和工作的巨大压力。“男主外，女主内”的观念在以男人为中心的中国尤其突出。男人从小就不自觉地充当起这个“顶梁柱”的角色，一生都生活在一种巨大的责任之中。 作为一个男人，出门在外，他必须负起他的社会责任；下班回家，就要当一个好儿子、好丈夫、好父亲，没有可以放松的时候，天天都承受着巨大的压力。 除了这些以外，男人还要承受来自女人的压力。随着时代的发展和变化，中国的女性也从传统中走了出来。她们可以和男人干同样的工作，面对同样的社会竞争。女性的崛起让男性不得不做得比她们更多、更好。女人越成功，男人的压力也就越大，做男人也就越难。 当然，也有很多人认为做女人更难。因为，女人不但要干好工作，还要当好贤妻良母。现代女人必须承担家庭的负担，而且还要像男人一样，感受自己工作中的酸甜苦辣。 走进社会的中国女人在社会工作中承担的压力跟男人是一样的，也许比男人更多，女人常常要做出更多的努力才能得到和男人一样的机会。女人比男人生活得更累，做女人更难。
4-9	在妇产科医院的走廊上，两位中年孕妇周思丽和吴晓文相遇了。 吴晓文：小周，你好！ 周思丽：你好，你是…… 吴晓文：我是吴晓文啊。你忘了，上次在“星吧”的聚会了上… 周思丽：哦，想起来了，你就是大名鼎鼎的“丁克族长”吴晓文啊、怎么，你也回心转意了？ 吴晓文：嗨，没法子啊！ 周思丽：怎么，老公想要？ 吴晓文：老公倒没什么，老爸老妈实在难对付。 周思丽：这话怎么说？ 吴晓文：你不知道，我的老爸老妈，还有他的老爸老妈，轮流到我家来。 周思丽：那不是很好吗？ 吴晓文：好什么呀？我和老公的耳朵都快要磨出茧子来了。 周思丽：有那么严重吗？ 吴晓文：可不是、他们这个说谁谁的孙子孙女怎么怎么样。那个说谁谁的外孙外孙女怎么怎么样、搞得我和老公都不敢回家。 周思丽：所以你们就…… 吴晓文：是啊，为了能清静一点儿，安安心心地过日子，我们只好给他们生一个。 周思丽：这一下，老爷子老太太该高兴了吧！ 吴晓文：可不是。你看我现在胖得… 周思丽：我还不是一样？ 吴晓文：怎么，你们家的老爷子老太太也… 周思丽：我们倒是没老爷子老太太烦，我们两家的四位老人都已经不在了。 吴晓文：那你为什么现在又想要了呢？ 周思丽：我们家太清静了，整天冷冷清清的，真受不了。 吴晓文：所以你就⋯ 周思丽：是啊，生个孩子就可以热闹起来了。
4-9	坚持“二人世界”多年的女画家小周，最近突然回心转意，悄悄地告诉我说想要生一个孩子。听了以后，我感到非常吃惊。小周已经40多岁，结婚也已经十几年了，一直不想生孩子，怎么突然改变主意了呢？另一位喜欢画画儿的李先生也是比较早的丁克族，可是在他50岁、太太39岁的时候，还是忍不住寂寞，终于走进了三口之家的行列。 这是一个非常有趣的现象：一方面，选择“丁克”生活方式的人越来越多；但是另一方面，能坚持到最后的却很少。为什么会这样呢？原因是多方面的，除了来自社会的一些压力以外，最主要的还是来自他们自己的情感需要。有些结婚多年的丁克族，由于两个人在一起的时间太长，“二人世界”变得越来越无聊，乏味，再想起当年“丁克”的决定，感觉就好像是上一个世纪的事儿，于是他们自然而然地做出了新的选择，重新回到了三口之家的普通世界。 有些丁克族的转变，常常是因为女主人的观念突然转变了。沈小姐早就准备“丁克”一生，但是，在她结婚第七年的时候，有一次，她在电视上看到一种生活在澳大利亚森林里的小动物，它们在树上痛苦地分娩。分娩虽然痛苦，但是，孩子带来的那种幸福、那种天伦之乐、那种深深的母爱感动了她。沈小姐终于明白了爱就是付出，于是，她就结束了自己的丁克生活。
4-10	水秀的爸爸和万小山的妈妈扛着农具，走在山林中的小路上，他们一边走一边说着话。  小山妈：你们家水秀最近怎么样？ 水秀爸：别提了，昨天老师又打电话来了，让我今天下午无论如何要去学校一趟。 小山妈：怎么了？ 水秀爸：我也不知道。老师说，她小小的年纪，整天和一个小流氓在一起，课也不上，这不，我正打算去呢。 小山妈：我们家小山也一样，老师说他老是逃课，也不知是怎么回事。 水秀爸：是啊，现在的孩子也不知是怎么了，昨天还让我狠狠地打了一顿。 小山妈：唉，真是可怜天下父母心！不过，不犯什么大错误，你也别老是打孩子，毕竟也是十三四岁的大姑娘了。 水秀爸：我也不想打她，可接到老师的电话，再看看她那个样子，和她妈一个德行，我是越看越生气… 小山妈：你也别太生气了，都离婚那么多年了。 水秀爸：好了，别说我了，你最近怎么样？ 小山妈：我？我还能怎样？你生气了可以打孩子出气，我能怎么样呢？ 水秀爸：你也应该好好管教管教你们家小山，这孩子现在也越来越不像话了。 小山妈：是啊，我也知道。难道我不想管吗？可我怎么管呢？说什么他都不听。 水秀爸：你就不能好好地打他一顿？ 小山妈：打他？他打我还差不多。十四岁的小伙子，简直像头牛似的，我哪里还打得了他啊？ 水秀爸：看来，你应该找他爸爸好好谈一谈。 小山妈：别提他爸，不提他还好，一提起他我就生气，要不是他，小山怎么能变成这样？真是“有其父必有其子”。 水秀爸：我还不是一样？哎，你看那儿。 小山妈：什么？哪儿？ 水秀爸：那棵树后面，那个男孩儿不是你们家小山吗？ 小山妈：啊，是他，气死我了。 水秀爸：哎，他旁边好像还有个女孩儿。 水秀爸 | 小山妈：是水秀。
4-10	万小山很小就没了父亲。当然，这并不是说他的父亲已经死了，他还活得好好儿的，只是成了另一个孩子的爸爸。父母离婚以后，万小山跟着妈妈过。 万小山今年14岁，刚上初一，老师讲的内容他觉得很无聊，一点儿也不感兴趣，却偏偏对武侠小说着了迷。由于家里太穷，买不起那么多书，他只好借同学的看。没上过几天学的妈妈见儿子没日没夜地看书，高兴极了，见人就说：“我儿子非常勤奋，非常用功，将来一定能考上大学。”因此，她对儿子抱有很大的希望。 然而，万小山却不这样想，他不喜欢上学，因为他觉得，无论老师还是同学们都不喜欢他。他觉得在学校干什么都没有意思。因此，不管是上课还是课后，他不是看武侠小说，就是一个人在那儿发呆。当然，逃课也是常有的事。 一天早上，刚下过雨，天很好，空气也特别好。万小山正在上课，看见窗户外面有一个人站在那儿一动也不动，当时，他没怎么注意，继续偷偷地看武侠小说。下课了，同学们告诉他他妈妈来了。他出去一看，才发现那个人竟然就是自己的妈妈。妈妈从有点儿破旧的衣服口袋里拿出一本书，说他把书忘在家里了，怕他上课要用，就赶紧给他送来了。万小山一看，是他的一本武侠小说。唉、真是可怜天下父母心！ 妈妈走了，看着妈妈的身影，万小山不知道自己应该怎么办。他的新衣服口袋里是一张成绩单。他真不知道，要是妈妈知道了他每门功课的成绩都在20分以下，那会怎么样⋯
4-11	高一飞：最近怎么了，总是无精打采的？ 张天：别提了，我们家老爷子…… 高一飞：老爷子怎么啦？ 张天：他呀，还能怎么样？病了这么多年，你是知道的。 高一飞：是啊，你们兄妹没少受罪。朋友们谁不夸你们孝顺？ 张天：还孝顺呢，这几天老爷子差点儿没把我们给骂死。 高一飞：怎么啦？ 张天：嗨，老爷子也不知从哪儿听说了什么安乐死。 高一そ：什ム？安乐死？老爷子想安乐死？ 张天：可不是，疼起来就叫着要安乐死。 高一飞：那你们就好好儿劝劝呗。 张天：还劝呢，我们哪开得了口啊？ 高一飞：怎么？ 张天：只要一开口，他就大骂我们是不肖子。 高一飞：骂就让他骂呗。不过，我倒听说有一种手术挺好的。 张天：是吗？什么手术？ 高一飞：听说是一种叫什么“安乐活”的手术，止疼效果特别好。而且，做一次手术能管好几年呢。 张天：真的？在哪儿能做呢？ 高一飞：这个我倒不太清楚，不过我可以帮你问问。 张天：那真是太感谢你了。 高一飞：咱们谁跟谁呀，还用得着客气？ 张天：好吧，那就拜托你了。 高一飞：你放心，我打听到了以后，就马上打电话通知你。 张天：好的，谢谢！ 高一飞：瞧你，又来了。
4-11	2001年4月10日，荷兰成为世界上第一个把安乐死合法化的国家。这件事在中国引起了热烈的讨论。 北京某医学院的一位老师说，国内有一些医学界人士认同安乐死。他们认为、安乐死尊重病人的愿望，减少病人的痛苦。另外，得了不治之症的病人最后都要使用一些高级的医疗设备，这也是医疗资源的一种浪费。 一些法律界人士却认为，如果安乐死合法化了，可能会使一些不该死的人死去。医生关心的只是病人的个体利益，但是，法律却要关心社会的整体利益，任何人都没有权力选择自己的生和死。 另外，根据报道，2001年4月，武汉某医院对安乐死问题在522名护士中进行了调查，结果表明，大多数护士同意安乐死，小部分人不能决定，不同意的人很少。 调查表明，几乎所有的护士都认为，对于癌症病人来说，减少他们的痛苦是最重要的。 调查还表明，大多数护士认为，如果安乐死合法化，最好让法官去实施，不应该让医生去做。 差不多同时，北京一家报纸对北京市民也进行了一次调查。结果，大多数人同意安乐死。只有很少的人认为应该禁止实施安乐死。
4-12	若干年来，在美国的洛杉矶、华盛顿，加拿大的温哥华、多伦多，澳大利亚的悉尼、墨尔本等地，来自中国大陆、香港、台湾的移民一直在不断增加。随着移民人数的增多，东西方文化之间的差异也日益显露出来。 一位老奶奶就遇到了这样的问题。她的女儿在华盛顿开了一家商店，最近，她女儿去外地出差，就让她临时照看一下，可是还不到一个星期，她就被警察给抓走了，原因是她把香烟卖给了未成年人。 老奶奶觉得很难理解：在中国的时候，谁来买烟她都可以卖。而且，让她觉得委屈的是，来她这儿买烟的人，个个人高马大，哪个都不像未成年人，再说，孩子也可以给他们的父母长辈买烟啊！ 像她这样的老人根本不能理解和接受这样的文化和规定，可是，年轻人却往往很快就可以接受，这样一来，他们之间有时就会出现一些问题。 在有些城市的中小学里，华裔移民的子女差不多占了一半左右，黑眼睛、黄皮肤的华裔孩子到处都可以看到，这种问题也就更加突出。无论是美国、加拿大等国的儿童教育家，还是华裔家长自己，都已经越来越清楚地发现，东西方的文化差异，在家长教育子女的方式上，表现得越来越明显。 事实上，大多数华裔家庭即使已经离开了中国，使用的仍旧是传统的东方的教育方式。特别是华裔母亲，更是希望自己的孩子能保持东方文化的传统，于是，她们仍旧根据在中国时的方式来教育子女。但是，她们的孩子却和她们不同，他们到了西方国家以后，在学校和社会的影响下，比家长们更容易接受西方文化，尤其是西方人教育子女的开放方式。因此，父母和孩子之间就常常会发生许多问题，其中最典型的例子就是体罚孩子的问题。在中国人看来，“打是疼，骂是爱”，可是在美国、在加拿大，许多华裔家长却因体罚孩子成了被告。 美国等西方国家的法律禁止家长体罚孩子，中国等东方国家却不是这样，因此，家长和孩子之间就很容易产生问题。不过，让人欣慰的是，越来越多的家长已经认识到“入乡随俗”的道理，开始慢慢地改变自己的教育方式。
MC2-1	美国老板的“北京口音” 我叫林大刚，今年四十二岁，在北京一家外国公司工作。下面我来给大家讲一个外国人说中国话的小故事。 我的老板是个美国人，名字叫安达，在中国生活了十几年了。他中国话说得相当好，而且特别喜欢学老北京人的口音。他还爱画画儿，周末有空儿的时候，常常到小胡同里去写生。 有一次，他画得忘了时间，天已经快黑了，胡同里的行人也越来越少了。有两个提着旅行包的外地人迷了路，最后是安达一直带着他们走到了大街上。那两个人非常感谢他，还说他讲话就跟北京人一样。安达心里感到很得意，星期一上班的时候跟同事们说，连中国人都觉得他的北京话很地道。大家听了只是笑了笑。 后来，安达去上海办事，往公司打电话找我，是新来的谢云接的电话。小谢从来没见过这个老板，也没问对方是谁，就大声地喊：“老林，电话！有个外地人找您！” 从那以后，安达就再也不提自己的北京口音了。
MC2-1	李：哎，我说，老高！咱们是不是走错路了？刚才来的时候，好像不是从这儿走的！ 高：我也觉得有点儿不对。咱们身上连张地图也没有，最好打听打听。哎，你看，那边有个人！ 李：我早就看见了，是个黄头发的老外！在那儿画石头狮子呢！ 安达：哦，你们说的是我吧？怎么啦？是不是走丢了？ 高：天哪！你中国话说得这么好！就跟北京人一样！ 安达：哪里！哪里！你们要去哪儿？我常来这一带，可以给你们指路。 李：太好了！多谢，多谢！ 高：我们从外地来，不熟悉北京的街道，一出来就不知道东南西北了。说老实话，还不如你这个外国人呢！
MC2-1	谢云：易达公司，您好！ 安达：你好！请问，老林..…林大刚在吗？ 谢：在，请稍等。老林！电话！有个外地人找您！ 林：喂，您好！是哪位？ 安达：是我，安达。我往你的手机上打了好几次，刚开始老占线，后来就关机了。 林：啊，对不起。刚才跟一个客户通话，谈了半个多钟头，后来手机就没电了。 安达：哦。对了，刚才接电话的是谁啊？ 林：是谢云。她上个星期オ来的.....。 安达：没关系。你告诉她，下一次接电话，先要问问是谁。
MC2-1	囫囵吞枣 从前有一个人，非常注意自己的身体。有一天，他听别人说，吃梨对牙很好，但是伤脾，吃枣子呢，刚好相反。他想了好几天，怎么才能做到又吃水果又不伤身体呢？最后他决定，吃梨的时候，只嚼不咽，吃枣子的时候呢，只吞不嚼，这样就不会伤牙也不会伤脾了。他非常得意，觉得自己真是聪明极了，就到处给别人讲他的好办法。可是没想到，大家不但不觉得好，而且都笑他，说他这是“囫囵吞枣”。 后来，这个成语有了另外一个意思。如果一个人读书或者学习的时候，只想快，不想多花时间，觉得差不多懂了就行了，这就叫“囫囵吞枣”。
MC2-2	那你怎么又来晚了呢？ 今天早上我有一节听力课。大概昨天夜里没睡好，所以起晚了。这下我急坏了，因为开学才半个多月，我已经迟到过两次了！老师不但记住了我的名字，而且还说，下一次我要是再迟到的话，他就不让我进教室了。 我想去洗洗脸，哎？洗澡间的灯怎么不亮了？算了，反正没时间了。我又穿上昨天脱下的那身衣服，骑上车就往学校赶。 教室里坐着很多学生，可是安静极了，连一点儿声音也没有。看来老师还没到。我赶快找到一个空座位坐好。 这个时候，我忽然发现，周围的人都是我的中学同学，每个人的面前还摆着一本数学课本。太奇怪了，这节课不是听力吗？怎么会变成了我最讨厌的高中数学课呢？还有，我跟同学们打招呼，他们都不答应，只是看着我笑。笑什么？是因为我没洗脸，没梳头，也没刮胡子，还是因为我又穿了两只颜色不同的袜子？正当我不知道该怎么办的时候，“叮铃铃...”，上课铃响了。 我一下子就醒了，睁开眼睛，看了看床头的闹钟：六点半。我打开窗户，天还没亮呢。我呼吸了一口新鲜空气，心里得意地想，今天肯定不会迟到了。
MC2-2	（课间休息的时候，方小英和齐万春在楼道里说话） 方：哎，你看那个矮个子的男生，他是我们班的，可是我不知道他叫什么名字。 齐：哦，你说的是孙正刚吧！我跟他太熟了，我们在高中是同班同学。 方：是吗？他真有意思，平时老是没睡醒的样子。有一次，他一进教室，大家都笑了，因为一看就知道他起晚了，不但没梳头，还扣错了扣子。刚才的听力课他又迟到了，老师没让他进教室。 齐：不过，你知道吗？他可了不起了，功课在我们班是第一名。（大声喊）哎！老孙，你过来！我问问你，我是不是应该送你一个新闹钟啊！ 孙：你又开我的玩笑！告诉你，今天我六点半就起床了。 方：那你怎么又来晚了呢？ 孙：唉，别提了，没想到半路上我的自行车坏了！
MC2-2	画蛇添足 从前，有一个有钱人请了几个人来帮他干活儿。完事以后，主人觉得活儿干得不错，就赏了一壶酒给他们喝。可是，人多酒少，一个人只能喝几口。他们几个人商量了一会儿，决定比赛画蛇，第一个画好的人就可以喝这壶酒。他们一起喊，一，二，三！大家开始用树枝在地上画蛇。 张三很快就画好了。他看见别人都还没画完，觉得很得意，想：我还有时间给蛇加上几只脚呢！可是，没想到，他还没画完脚的时候，李四的蛇也画好了，而且说：“我第一，这壶酒应该给我喝。”张三马上就急了，说：“不对，是我第一个画好的！”李四看了看张三的蛇，回答说：“我们说好了要画蛇。蛇是没有脚的，你给它加上脚，就不是蛇了。所以你不能喝酒。” 后来，如果有人做了一件事，不但是多余的，而且是不应该做的，人们就说他是“画蛇添足”。
MC2-3	哪一个合适？ 海天公司最近需要招收一名会讲外语并且懂计算机的人。有很多人报名来参加面试。 上午十点钟，刘经理坐在他的大办公桌前。安秘书坐在另一边，面前还摆着一台笔记本电脑。公司的员工小周留在楼道里，开始叫第一个人。 进来的这个人很年轻，个子不太高，大眼睛，留着长发，很会唱歌儿，出去的时候还很有礼貌地给经理行了个礼。下一个是个短发圆脸的姑娘，背着一个大书包，一进门就从里面拿出一大堆各种各样的证书，一份一份地给经理看。第三个人有四十多岁了，戴眼镜，样子像个大学老师，可是好像连一句英语也不会说。接着是个矮胖子，穿着一身西服，他先过来跟经理握了握手，又过去跟秘书打招呼，动作慢得让人着急。第五个是个外国人，黄头发，蓝眼睛，又高又瘦，穿着一身中式衣服和一双布鞋。他不但普通话句句都说得很地道，而且还懂当地的土话。最后是一个打扮得非常时髦的妇女，岁数在三十五岁上下，戴着一顶浅黄色的帽子，穿着高跟鞋，手里还提着一只很讲究的皮包。不管经理说什么，她都笑一笑。
MC2-3	刘：（问年轻人）你说说，你有什么特长？ 年轻人：我头发特长。 刘：我是问你特别会做什么事情？ （年轻人不回答，站起来开始大声地唱歌。） 刘：好了，好了，唱得不错，你可以回去了。 刘：（看了看姑娘带来的证书）你在简历里不是都写了吗？ 姑娘：没有，我没都写进简历。还有，这是我以前在学校的成绩，我可以给您留下。 刘：这怎么行呢？好了，你回去吧，先学学怎么写简历。 姑娘：那，我明天写好了简历，可以再回来试试吗？ * （刘经理等中年人坐下以后，用英文问他了一个问题。） 中年人：I..I..I am，咳，咱们都是中国人，最好还是说母语吧！ * 刘：（对矮胖子说）你不会外语，也不喜欢用电脑。那你来干什么？ 矮胖子：（想了好一会儿）您...您...需要不需要一个保安？ * 刘：（对外国人说）好。你普通话说得很流利。那，你有计算机专业的证书吗？ 外国人：这玩意儿，我…，真的没有。不过，我会说英语啊！ * 妇女：（办公室门外。对小周说）劳驾，我有急事，不能等了，现在就让我进去吧！ 小周：不行，前边的人刚出来。我要等五分钟以后才让您进去。 * 现在，你来说说，如果你是刘经理的话，这几个人当中，你会招收哪一个？
MC2-3	下雨天留客 从前，有一个人从很远的地方来他的朋友家做客。两个人好久不见了，都很高兴。在朋友家里住了几天以后，这个客人就打算动身回去了。可是，没想到，天忽然开始下大雨，而且没有要停的样子。客人不能上路了，就只好留在朋友家住着。又过了两天，兩还是不停，主人开始有些烦了，可是又不好意思赶客人走，就想了一个办法。他当客人不注意的时候，在一张纸上写了一句话，留在桌子上，就走了。客人看见了条子，笑了笑，拿起笔，只在上面点了几下。晚上，主人看到那张他留的纸条，就明白了，一句话也没说，只好等雨停了，才送走客人。 这是怎么回事呢？原来，主人在纸条上写了这样一句话：下雨天留客天留我不留。他想说的意思是，下雨了，老天留下了客人，虽然老天留你，可是我不想再留你了。问题是，他的句子连一个标点符号也没有。客人呢，看了纸条觉得很好笑，只是加上了几个标点符号，句子的意思就完全变了，变成了“下雨天，留客天，留我不？留！” 你说，主人的句子应该怎么写才对？
